date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:48:49	55818/55818	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Dec%202020%2003:49:33%20GMT	http://bloxthemes.net/landing-pages/spirit	C:/My%20Web%20Sites/template%20new%20noel/bloxthemes.net/landing-pages/spirit.html	(from )
10:48:49	65/65	---M--	200	added ('OK')	text/plain	etag:%225afc0741-41%22	http://bloxthemes.net/robots.txt		(from )
10:48:50	1040/1040	---MCZ	200	added ('OK')	text/css	etag:W/%225c13f3f5-410%22	http://bloxthemes.net/landing-pages/blox-plugin/media/assets_internal/css/uc_layout_preview.css?ucver=1.6.48	C:/My%20Web%20Sites/template%20new%20noel/bloxthemes.net/landing-pages/blox-plugin/media/assets_internal/css/uc_layout_previewf582.css	(from http://bloxthemes.net/landing-pages/spirit)
10:48:50	2840/2840	---MCZ	200	added ('OK')	text/css	etag:W/%225c13f3f5-b18%22	http://bloxthemes.net/landing-pages/blox-plugin/media/assets_internal/css/uc_front.css?ucver=1.6.48	C:/My%20Web%20Sites/template%20new%20noel/bloxthemes.net/landing-pages/blox-plugin/media/assets_internal/css/uc_frontf582.css	(from http://bloxthemes.net/landing-pages/spirit)
10:48:50	23848/23848	---MCZ	200	added ('OK')	text/css	etag:W/%225c13f3f5-5d28%22	http://bloxthemes.net/landing-pages/blox-plugin/media/assets_libraries/animate/animate.css?ucver=1.6.48	C:/My%20Web%20Sites/template%20new%20noel/bloxthemes.net/landing-pages/blox-plugin/media/assets_libraries/animate/animatef582.css	(from http://bloxthemes.net/landing-pages/spirit)
10:48:51	2099/2099	---MCZ	200	added ('OK')	text/css	etag:W/%225c90c0dc-833%22	http://bloxthemes.net/landing-pages/blox-plugin/media/assets/blox_image_hover_effect_two/blox_image_hover_effect_two.css?ucver=1.6.48	C:/My%20Web%20Sites/template%20new%20noel/bloxthemes.net/landing-pages/blox-plugin/media/assets/blox_image_hover_effect_two/blox_image_hover_effect_twof582.css	(from http://bloxthemes.net/landing-pages/spirit)
10:48:51	28931/28931	---MCZ	200	added ('OK')	text/css	etag:W/%225c13f3f5-7103%22	http://bloxthemes.net/landing-pages/blox-plugin/media/assets_libraries/font-awsome/css/font-awesome.min.css?ucver=1.6.48	C:/My%20Web%20Sites/template%20new%20noel/bloxthemes.net/landing-pages/blox-plugin/media/assets_libraries/font-awsome/css/font-awesome.minf582.css	(from http://bloxthemes.net/landing-pages/spirit)
10:49:16	151938/151938	---M--	200	added ('OK')	image/jpeg	etag:%225c00e49a-25182%22	http://bloxthemes.net/landing-pages/uploads/images/blox_page_builder/mebo_tiles.jpg	C:/My%20Web%20Sites/template%20new%20noel/bloxthemes.net/landing-pages/uploads/images/blox_page_builder/mebo_tiles.jpg	(from http://bloxthemes.net/landing-pages/spirit)
10:49:16	51345/51345	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Dec%202020%2003:50:00%20GMT	http://bloxthemes.net/landing-pages/christmas-classic	C:/My%20Web%20Sites/template%20new%20noel/bloxthemes.net/landing-pages/christmas-classic.html	(from http://bloxthemes.net/landing-pages/spirit)
10:49:24	223264/223264	---M--	200	added ('OK')	image/jpeg	etag:%225c00e9a9-36820%22	http://bloxthemes.net/landing-pages/uploads/images/blox_page_builder/bg5.jpg	C:/My%20Web%20Sites/template%20new%20noel/bloxthemes.net/landing-pages/uploads/images/blox_page_builder/bg5.jpg	(from http://bloxthemes.net/landing-pages/spirit)
